ETC,DEPARTAMENTO,MUNICIPIO,AÑO,CÓDIGO_MUNICIPIO,CÓDIGO_DEPARTAMENTO,CÓDIGO_ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
Medellín,Antioquia,Medellín,2023,5001,5,3759,377562,96.15,95.94,81.42,94.01,83.58,57.69,107.16,94.23,105.58,115.53,100.69,79.05948274332854,5.4,4.84,4.85,6.75,3.93,85.37,0.15,88.95,77.84,88.8,9.23,6.21,15.4,7.27,9.25,1.82,8.34,13.69,4.48
Antioquia (ETC),Antioquia,Abejorral,2023,5002,5,3758,3634,74.38,74.38,50.55,74.32,63.78,40.95,81.54,65.93,87.91,83.4,69.68,46.253311301287795,4.15,3.33,2.86,6.36,3.03,88.08,0.56,89.88,82.7,92.56,7.77,7.26,10.93,4.41,9.07,1.67,10.28,11.32,2.2
Antioquia (ETC),Antioquia,Abriaquí,2023,5004,5,3758,503,62.62,62.62,44.19,63.33,51.53,40.23,66.8,58.14,72.86,66.87,56.32,41.258863366884725,1.19,0.0,1.31,0.0,4.08,92.26,0.0,96.73,83.49,93.88,6.55,1.96,16.51,2.04,9.52,0.0,10.46,13.76,2.04
Antioquia (ETC),Antioquia,Alejandría,2023,5021,5,3758,864,81.37,81.37,61.45,73.21,77.74,73.08,85.19,75.9,79.31,90.88,96.15,50.941804360069,3.26,1.59,1.67,6.02,2.4,88.86,0.0,91.3,80.32,95.2,7.88,7.02,13.65,2.4,7.2,1.59,7.69,11.65,0.0
Antioquia (ETC),Antioquia,Amagá,2023,5030,5,3758,5060,78.3,78.3,67.65,76.96,65.61,38.82,89.21,84.69,88.94,94.72,81.27,50.041086072700864,4.33,4.37,3.12,6.32,3.04,84.95,0.0,87.25,77.2,91.46,10.71,9.63,16.48,5.5,12.08,0.29,11.54,18.48,3.98
Antioquia (ETC),Antioquia,Amalfi,2023,5031,5,3758,5762,70.95,70.95,58.13,65.29,59.85,32.71,79.47,74.61,81.78,85.23,64.29,47.580868397395534,2.6,1.49,2.37,2.63,4.63,87.43,1.79,87.96,84.67,87.92,9.96,9.68,12.7,7.46,10.41,2.39,14.87,8.46,2.83
Antioquia (ETC),Antioquia,Andes,2023,5034,5,3758,7672,80.9,80.9,61.59,76.57,67.41,37.05,91.44,76.03,93.59,99.84,76.9,47.88576554774204,4.85,5.01,3.99,6.28,3.9,87.26,0.84,89.09,81.51,92.7,7.89,6.91,12.21,3.4,11.81,2.09,12.92,14.98,4.4
Antioquia (ETC),Antioquia,Angelópolis,2023,5036,5,3758,1017,81.32,81.32,62.96,79.19,72.51,44.32,99.8,80.25,91.15,111.99,105.68,45.15528456058746,4.48,3.08,4.31,5.96,1.8,88.1,0.0,93.26,77.48,94.59,7.42,2.43,16.56,3.6,11.31,1.54,10.51,18.54,0.0
Antioquia (ETC),Antioquia,Angostura,2023,5038,5,3758,2401,69.26,69.26,43.59,67.67,56.49,42.96,76.8,59.49,81.78,78.37,69.6,42.23622457146371,3.97,3.45,3.06,5.8,2.99,92.63,0.0,91.68,91.74,96.15,3.4,5.26,2.46,0.85,6.97,3.45,10.65,4.57,1.71
Antioquia (ETC),Antioquia,Anorí,2023,5040,5,3758,4477,71.72,71.72,45.9,69.16,60.85,35.14,76.95,66.15,84.79,78.23,58.71,40.39028775907627,6.07,2.33,4.72,9.11,5.38,90.21,0.0,91.42,87.13,89.24,3.72,3.86,3.77,5.38,5.81,2.33,7.35,5.69,2.2
Antioquia (ETC),Antioquia,Santafé de Antioquia,2023,5042,5,3758,5023,94.33,94.33,76.87,87.61,80.36,50.65,102.23,91.54,103.04,114.11,81.42,54.22226276486481,4.13,3.37,3.31,6.06,1.64,82.95,0.0,87.47,73.34,88.69,12.92,9.23,20.59,9.67,11.32,2.15,11.3,15.21,4.92
Antioquia (ETC),Antioquia,Anza,2023,5044,5,3758,1494,81.93,81.93,58.54,79.59,68.35,36.21,92.7,85.37,98.42,101.01,64.61,53.42098547822923,5.53,2.86,6.11,6.24,2.42,81.85,0.0,78.14,79.68,95.16,12.62,15.76,14.09,2.42,9.27,0.95,10.77,11.09,2.42
Apartado,Antioquia,Apartadó,2023,5045,5,7692,28391,91.17,91.16,64.67,84.45,77.96,58.34,104.53,91.54,99.15,112.92,107.81,69.18662261636803,4.14,3.44,3.1,5.63,4.02,87.88,0.0,91.41,82.02,86.88,7.98,5.49,12.35,9.1,8.12,1.43,7.16,11.94,4.99
Antioquia (ETC),Antioquia,Arboletes,2023,5051,5,3758,7592,89.65,89.65,56.73,79.18,76.01,50.17,104.1,83.21,98.66,118.04,101.47,47.320163844632134,3.49,1.31,3.06,4.16,4.3,91.17,0.0,92.15,88.21,91.8,5.34,4.79,7.63,3.89,9.66,1.31,11.09,11.56,4.5
Antioquia (ETC),Antioquia,Argelia,2023,5055,5,3758,1686,75.56,75.56,72.46,71.1,72.15,39.11,79.77,77.54,81.02,88.27,59.78,44.7724619641067,4.46,1.87,4.37,5.16,4.32,90.04,0.0,91.61,86.11,91.36,5.5,4.02,8.73,4.32,7.81,0.93,9.09,9.13,3.7
